date,open,high,low,close,volume,adj_close,adj_open,adj_high,adj_low,open_change,open_change_perc,close_change,close_change_perc,high_change,high_change_perc,low_change,low_change_perc,high_above_5_perc,high_above_10_perc,low_below_5_perc,low_below_10_perc,days_to_drop_to_prev_close,days_to_rise_to_prev_close
08/27/2014,27.72,28.09,27.59,27.83,18568600,27.83,27.72,28.09,27.59,0.09,0.00,0.20,0.01,0.46,0.02,-0.04,0.00,,,,,0,0
08/26/2014,27.43,27.76,27.35,27.63,18931500,27.63,27.43,27.76,27.35,0.03,0.00,0.23,0.01,0.36,0.01,-0.05,0.00,,,,,0,0
08/25/2014,27.36,27.64,27.24,27.40,21483800,27.40,27.36,27.64,27.24,-0.34,-0.01,-0.30,-0.01,-0.06,0.00,-0.46,0.00,,,,,0,1
08/22/2014,27.74,28.29,27.53,27.70,38135700,27.70,27.74,28.29,27.53,-0.07,0.00,-0.11,0.00,0.48,0.02,-0.28,-0.01,,,,,0,0
08/21/2014,27.77,28.15,27.69,27.81,28257400,27.81,27.77,28.15,27.69,0.06,0.00,0.10,0.00,0.44,0.02,-0.02,0.00,,,,,0,0
08/20/2014,27.92,28.29,27.60,27.71,40029700,27.71,27.92,28.29,27.60,0.42,0.02,0.21,0.01,0.79,0.03,0.10,0.00,,,,,3,0
08/19/2014,27.45,27.71,27.38,27.50,25085800,27.50,27.45,27.71,27.38,-0.35,-0.01,-0.30,-0.01,-0.09,0.00,-0.42,0.00,,,,,0,1
08/18/2014,27.99,28.18,27.80,27.80,33304700,27.80,27.99,28.18,27.80,-0.89,-0.03,-1.08,-0.02,-0.70,-0.02,-1.08,-0.02,,,,,0,18
08/15/2014,28.26,30.49,28.11,28.88,73302800,28.88,28.26,30.49,28.11,-0.62,-0.02,0.00,0.00,1.61,0.06,-0.77,-0.01,1,,,,0,0
08/14/2014,29.45,29.59,28.79,28.88,29863100,28.88,29.45,29.59,28.79,-0.44,-0.01,-1.01,-0.03,-0.30,-0.01,-1.10,-0.02,,,,,0,1
08/13/2014,30.87,31.08,29.71,29.89,38918400,29.89,30.87,31.08,29.71,-0.78,-0.02,-1.76,-0.04,-0.57,0.00,-1.94,-0.06,,,1,,0,34
08/12/2014,31.74,32.06,31.16,31.65,37551800,31.65,31.74,32.06,31.16,-0.11,0.00,-0.20,0.01,0.21,0.01,-0.69,-0.02,,,,,0,0
08/11/2014,32.55,32.71,31.02,31.85,36880600,31.85,32.55,32.71,31.02,-0.66,0.00,-1.36,-0.04,-0.50,-0.01,-2.19,-0.05,,,1,,0,43
08/08/2014,34.62,35.12,33.11,33.21,56798800,33.21,34.62,35.12,33.11,0.00,0.00,-1.41,-0.04,0.50,0.01,-1.51,-0.04,,,,,0,0
08/07/2014,33.03,35.25,32.79,34.62,70593300,34.62,33.03,35.25,32.79,-0.88,-0.01,0.71,0.02,1.34,0.04,-1.12,-0.03,,,,,0,0
08/06/2014,34.39,34.47,32.55,33.91,57881600,33.91,34.39,34.47,32.55,0.60,0.02,0.12,0.00,0.68,0.02,-1.24,-0.02,,,,,0,0
08/05/2014,32.18,34.28,31.82,33.79,78470000,33.79,32.18,34.28,31.82,0.63,0.02,2.24,0.07,2.73,0.09,0.27,0.01,1,,,,4,0
08/04/2014,32.75,33.17,30.82,31.55,53349200,31.55,32.75,33.17,30.82,-0.26,0.01,-1.46,-0.04,0.16,0.00,-2.19,-0.05,,,1,,0,0
08/01/2014,31.77,33.73,30.60,33.01,85656000,33.01,31.77,33.73,30.60,0.23,0.01,1.47,0.05,2.19,0.07,-0.94,-0.01,1,,,,0,0
07/31/2014,30.00,31.90,29.86,31.54,69188900,31.54,30.00,31.90,29.86,0.92,0.03,2.46,0.08,2.82,0.10,0.78,0.03,1,1,,,10,0
07/30/2014,28.29,29.20,28.26,29.08,36724500,29.08,28.29,29.20,28.26,-0.33,-0.01,0.46,0.02,0.58,0.02,-0.36,-0.01,,,,,0,0
07/29/2014,28.51,28.87,28.13,28.62,29133900,28.62,28.51,28.87,28.13,-0.14,0.00,-0.03,0.00,0.22,0.01,-0.52,0.00,,,,,0,0
07/28/2014,28.68,29.46,28.51,28.65,26271900,28.65,28.68,29.46,28.51,-0.15,0.01,-0.18,0.01,0.63,0.02,-0.32,-0.01,,,,,0,0
07/25/2014,28.48,28.99,28.41,28.83,25753700,28.83,28.48,28.99,28.41,0.49,0.02,0.84,0.03,1.00,0.04,0.42,0.01,,,,,16,0
07/24/2014,27.94,28.44,27.91,27.99,20451100,27.99,27.94,28.44,27.91,-0.24,0.01,-0.19,0.01,0.26,0.01,-0.27,0.01,,,,,0,0
07/23/2014,27.76,28.33,27.71,28.18,25917400,28.18,27.76,28.33,27.71,-0.18,0.01,0.24,0.01,0.39,0.01,-0.23,0.01,,,,,0,0
07/22/2014,27.82,28.16,27.57,27.94,22163900,27.94,27.82,28.16,27.57,-0.69,-0.02,-0.57,0.00,-0.35,-0.01,-0.94,-0.03,,,,,0,3
